[피싱범] 안녕하세요 사건번호 2019형제 1186호 조사 진행중입니다.,[피싱범] 담당자 이학 수사관이십니다. 성실히 조사 참여 부탁드립니다.,[피싱범] 찾아오시는 길 서울특별시 송파구 정의로30 서울동부지방검찰청 3층 312호실 김승민 검사,,,,,,,,,,,,
[피싱범] 엄마 머해?,[피싱범] 나 폰고장나서 카톡새로했어 친구추가해줘,[피해자] 된겨?,[피싱범] 추가했어?,[피해자] 추가 누르면 되는거지?,[피싱범] 음 엄마 지금 바뻐?,[피해자] 얼른머코 미용실 열시반 왜?,[피싱범] 급히 부탁할거 있어서 톡했어,[피싱범] 얼른 인출기로 해줘 은행창구가면 시간이 길어,[피해자] 언제까지 해야하는데? 농협가서 해야해,,,,,
[피싱범] 뭐하나만 부탁해도 되?,[피해자] 먼데~?,[피싱범] 엄마 혹시 잔고가 여유되?,[피해자] 없는데 왜,[피싱범] ㅠ,[피해자] 이번에 세금도 마니 나오고 장사도 덜 되고~ 왜 먼일 있어,[피싱범] 몇일전 급한 사정으로 아는 선배한테서 빌린돈 있는데 원래는 오늘 다시 보내주기로 하고 빌린거라 근데 아까 폰이 터치 안되는 상황에 계좌이체 여러 번 시도했더니 통장비밀번호 오류가 떠서 못해주고 있어,,,,,,,,
"[피싱범] 매형, 바쁘세요?",[피해자] ㅎ 오늘 출근해서 아직 쉬고있어서~ 반갑네 잘 지내시지?,[피싱범] 네 반가워요..,[피해자] 갑자기? 뭔일 있니?,"[피싱범] 매형, 죄송한데 부탁이 있어 톡드렸어요",[피해자] ㅇㅋ ?,[피싱범] 지금 급히 송금할게 있는데 갑자기 공인인증이 안돼서 송금 못하고 있는데…,[피해자] ㅇㅋ 어디로? 얼마?,[피싱범] 혹시 매형 96만 여유되면 대신 먼저 송금 해줄수 있을까요?,[피해자] ㅇㅋ,[피싱범] 바로 가능하세요?,[피해자] ㅇㅇ,,,
"[피싱범] 휴대폰 사용하지 말라고 했고, 마지막 말씀입니다. 좀 지킬건 지키고 주의사항 생각하세요 모니터링 진행중입니다. 주의하세요",[피해자] 팀장님 은행업무 완료하였습니다.,[피싱범] 체포영장,[피해자] 네 알겠습니다,[피해자] 저는 해당 사건에 대하여 관련이 없습니다. 최대한 기사건에 업무 협조하여 피해자 입증에 최선을 다하겠습니다.,[피싱범] 원상복구 확인서,[피해자] 확인했습니다,[피해자] 역까지 7분정도 남았습니다,,,,,,,
[피싱범] 반가워요 부총장입니다 물어볼게좀 있으니 확인하면 메시지 부탁해요,[피해자] 안녕하십니까? 실례지만 어떻게 연락을 하신건지요?,[피해자] 보이스톡 취소,[피싱범] 늦게 미안합니다 조교선생 맞나요,[피해자] 네 부총장님 지금 전화를 드려도 될까요?,[피싱범] 다른게 아니고 석박사과정 중국유학생이 있나요 미팅중이라,[피해자] 네 지금 제가 있는 연구실에는 한 명 있습니다.,[피싱범] 네 휴일 방해해 미안하네요,[피해자] 아니에요,[피싱범] 질의서 초안은 오후에 보내줄게요 다른부탁하나 더해야하는데,[피싱범] 혹시 위안화 환전을 좀 도와줄수 있겠나요,[피싱범] 계좌를 지정해주면 보내줄테니 중국계좌로 위안화 송금을 도와줄 수 있는 사람을 찾고있는데,,,
[피싱범] 선배님 저 150만원만 빌려주세요,[피해자] 왜? 먼일있니…,[피싱범] 급한 일이 있어서 그래요 내일 갚을 수 있어요,[피해자] 저나가 왜 안되니???,[피싱범] 지금 전화받기가 조금 곤란한 상황이라서요..,[피싱범] 그냥 보내주시면 안되요?,[피해자] 그래 알았다!!! 내일 꼭 죠야된다!!,[피싱범] 네,,,,,,,
[피싱범] 언니 많이 바빠?,[피해자] 노노,[피싱범] 그럼 잠깐 부탁 하나만 해도 되?,[피해자] 모?,[피싱범] 나 지금 급히 결제 해야 할곳있는데 인증서 비번 5회 오류라 이체가 안되네,[피싱범] 가능하면 언니가 나 대신 결제 해줄수 있어?,[피싱범] 돈은 늦어도 오후 4시 전으로 넣어 줄게,,,,,,,,
[피싱범] 나 지금 미팅중인데 일잇어서 언니한테 부탁점할려고,[피해자] 몬데? 얘기해바,[피싱범] 제가 일때문에 급하게 송금해야 될곳이 있는데 공인인증 때문에 못하고 있어서요 언니 대신해주시면 안될까요? 5시전으로 드릴께요,[피해자] 지금 나한테 전화 해줄래? 하도 무서운 세상이라 니 목소리를 들어야 겠다^^,[피싱범] 언니 나지금 미팅중이라서 끝나고 하면 안될까?,[피해자] ㅇㅇ끝나고 전화해 통화하고 송금할께~~,,,,,,,,,
[피싱범] 아고 미애씨 한가지 부탁하나 해도 될까요?,[피싱범] 거래처랑 미팅이 있어서 저녁을 먹었는데 지갑을 두고 왔나봅니다.,[피싱범] 죄송하지만 35만원만 입금해주실 수 있나요? 제가 집으로 돌아가면 바로 보내드릴게요,,,,,,,,,,,,
[피싱범] 엄마 지금바뻐?,[피해자] 일어났어 왜?,[피싱범] 아~ 엄마 미안한데 혹시 계좌잔고 97만정도 여유되면 대신 먼저 입금 부탁할게,[피싱범] 나 급히 지금 송금할거 있는데 폰고장나서 뱅킹이안대서 그래,[피싱범] 이따 오후에 폰찾으면 다시 보내드릴게,[피해자] 계좌번호 보내봐라,[피싱범] ㅇㅇ 잠시만 우리 1002034011808 황시내,[피싱범] 입금하고 톡줘 엄마,[피싱범] 내 이름으로 입금부탁할게,[피해자] 계좌번호 다시 확인해봐,[피싱범] 다시해봐 엄마 잘못보냈나봐 내가,,,,
[피싱범] 이모 뭐하세요,[피해자] 오랜만이다 잘 지내니?,[피싱범] 네 이모..ㅋㅋ 바쁘세요?,[피해자] 아니,[피싱범] ㅋㅋ 지금 머하세요?,[피해자] 일중..,[피싱범] 네 일중이신데 제가 톡보내서 괜찮으세요?,[피해자] 괜찮아 넌 뭐해?,[피싱범] 저도 일중인데요.. 이모 미안한데… 부탁하나만해도 될까요?,[피해자] 뭐?,[피싱범] 지금 나 일땜에 급히 97만 이체를 해야하는데 폰이 망가져서 공인인증을 못받아 이체를 못하고 있어요 미안한데 이모 나 대신 먼저 해줄수 있나요?,,,,
[피싱범] 엄마 지금 톡가능해?,[피해자] 왜 일끝났어..,[피싱범] 폰 액정깨져서 수리 맡기고 휴 컴퓨터로 연결중이어서 그러는데 부탁하나해도 될까,[피해자] 뭐야,[피싱범] 나 어제 친구한테 받은돈 있는데 친구가 지금 다시 급하게 송금해달라고해서 내껄로 할려니까 인증서 오류떠서 안되네ㅜㅜ 은행에 문의하니까 오후4시에 풀린다는데 엄마 먼저 친구한테 송금해줄 수 있어? 오후 4시에 인증서 풀리면 내가 엄마계좌로 다시 송금해줄께,[피해자] 응 계좌번호,[피싱범] 폰뱅신청했어?,[피해자] 친구랑 돈거래는 하지마 인터넷 뱅킹돼!,[피싱범] 금액 좀 돼 600정도 가능해? 빌려줬던거 받았는데 다시 몇일만 더 쓰자구 해서 걱정마,[피해자] 응,[피싱범] 잠시만 계좌 물어보고,,,,
[피해자] 왜,[피싱범] ㅇㅇ아빠 나 계단에서 폰 떨어뜨렸어ㅠㅠ 액정땜에 AS 맡기고 임시번호로 하는 거야 수리비용은 얼마 안돼 걱정마,[피싱범] 아빠 지금 바빠?,[피해자] 아니 왜,[피싱범] 아빠 나 지금 온라인으로 상품권 환불받아야 하는데 폰땜에 내꺼로 인증이 안돼서 아빠 계좌로 받아도 돼?,[피해자] 응 ,[피싱범] 아빠 민증 사진으로 보내주고 환불받을 계좌번호 보내줘,[피해자] 은행 무슨 은행이야?,[피해자] 농협,[피싱범] 알았어,,,,,
[피싱범] 주아엄마 지금 바빠?,[피해자] 네? 어쩐일이세요?,[피싱범] 응?,[피해자] 사돈이 제게 반말을 하지 않는데 놀랐어요,[피싱범] 반말한적없는데요,[피해자] 사돈 맞나요?,[피싱범] 그럼요 제가 지금 너무 급해서 당황한틈이라 그런거 신경못썼나봐요,,,,,,,,
[피싱범] 아빠 아직 바빠?,[피싱범] 보이스톡 해요 부재중,[피해자] 보이스톡 해요,[피해자] 응답없음,[피싱범] 안들려 컴터라 잘 안되나봐,[피싱범] 아빠 지금 어떻게 구매해주면 안돼?,,,,,,,,,
[피싱범] 효도은행 정해순 123-4567-890,[피싱범] 작은아버지 여기로 송금해주시면 되세요,[피해자] 요즘 보이스피싱이 많아서 나도 간단한 확인 후 송금함 할아버지 존함은? 내가 근무하는 곳은?,[피싱범] 네네 됐어요,[피해자] 우리 원재가 아닌가?,[피싱범] 무슨 말씀이세요? 큰돈도 아니고 98만원땜에 이상한 말 듣네요 작은아버지 제가 오후에 전화드릴게요 지금 통화가 불편해서 톡으로 하는 거에요,,,,,,,,,
